subject,condition,trial,targetx,targety,targetang,rotationval,cursorendpointy,cursorendpointx,conditionnumber,pathlength,movementduration,cursorobstaclexy,maxdev_cm,maxdev_angle,maxdev_x,max_y_peakvel,AUC,RMSExy,angmaxvel,block3,block5,block10,rotgroup
ab0529,train_CCW,30,6,10.41818182,60,-1,12.0973229,0.300123006,3,15.25504668,1996.259956,3.597036046,3.659480078,-83.90314808,5.054867962,3.647921458,32.99699251,2.070960867,38.2568394,10,6,3,2
ab0529,train_CCW,31,-6,10.41818182,120,-1,11.69397528,0.298514121,3,12.13101901,1535.127942,0.799362592,0.877422681,-52.42736065,6.817290104,0.786040314,7.575717982,0.630073107,11.38820701,10,6,3,2
ab0529,train_CCW,32,0,12,90,-1,11.55848168,0.351362175,3,11.75881424,1305.702055,1.523310769,1.659013013,-73.56436508,5.735680628,1.341989325,12.87649501,1.086299994,9.258522274,10,6,3,2
ab0529,train_CCW,33,3.109090909,11.61818182,75,-1,11.90612253,0.439311847,3,13.72836192,1071.026402,2.498176267,2.669684137,-81.14511737,6.127799141,2.596988406,24.34414817,1.713280066,27.83529403,11,6,3,2
ab0529,train_CCW,34,-3.109090909,11.61818182,105,-1,12.13238235,0.213013591,3,12.73545441,1353.416272,1.036652859,1.103727663,-62.90575912,5.365310718,1.082505899,10.71530488,0.794668141,12.53893963,11,6,3,2
ab0529,train_CCW,35,-3.109090909,11.61818182,105,-1,11.73787422,0.14962033,3,12.15325092,900,0.880169214,1.32588011,-67.22199041,9.929514707,0.946740145,10.2960577,0.894190353,11.50141198,11,7,3,2
ab0529,train_CCW,36,6,10.41818182,60,-1,12.1920555,0.362451662,3,15.87536826,1135.626482,3.991984268,4.203563849,-82.12212078,5.449920508,3.565406459,38.82323022,2.564311257,51.1483669,12,7,3,2
ab0529,train_CCW,37,3.109090909,11.61818182,75,-1,12.31670701,0.26772461,3,13.44646259,1004,2.218754992,2.317150713,-82.60087701,5.682228172,2.253891066,20.32381271,1.461813317,27.61612427,12,7,3,2
ab0529,train_CCW,38,-6,10.41818182,120,-1,11.4206163,-0.210984599,3,11.60172529,1377.499049,0.431870801,0.441507895,-56.30253734,7.362187939,0.431870801,3.581667247,0.300157105,5.898160165,12,7,3,2
ab0529,train_CCW,39,0,12,90,-1,12.17196251,-0.058598567,3,13.22632012,1586.050938,1.586322948,1.925007796,-74.80231212,7.265039822,1.682808332,15.23153167,1.100971983,20.00816563,13,7,3,2
